Date,MSCI World
04/1986,81837.03703703702
05/1986,80368.36499901385
06/1986,84270.30825323166
07/1986,85004.84373963237
08/1986,93716.27750487851
09/1986,90966.49884338003
10/1986,92099.83174425125
11/1986,96146.98693636747
12/1986,96982.64434099908
01/1987,103591.8692706257
02/1987,105399.8952879581
03/1987,107382.47817622306
04/1987,110937.14215656223
05/1987,108714.12456498257
06/1987,111147.34774066796
07/1987,114737.30267246733
08/1987,122207.0517629407
09/1987,116767.45713243337
10/1987,95899.78339350178
11/1987,87564.58262926662
12/1987,88664.56692913384
01/1988,92208.96218557387
02/1988,99902.62768740756
03/1988,98693.28968903434
04/1988,97507.31551485462
05/1988,95977.40572345546
06/1988,100817.69473210264
07/1988,107004.30473286023
08/1988,101609.61980548187
09/1988,106677.4346793349
10/1988,110163.1469979296
11/1988,109576.68786286975
12/1988,109491.4229378902
01/1989,116756.61047527763
02/1989,117335.82753507467
03/1989,119274.00490253296
04/1989,122898.6829727187
05/1989,125006.19365916474
06/1989,129744.49452672245
07/1989,137820.60486845335
08/1989,137157.88549570448
09/1989,143076.95832007632
10/1989,136884.51556003524
11/1989,143652.34643265928
12/1989,146013.9555277168
01/1990,134548.6918604651
02/1990,125334.73262189726
03/1990,122918.70729455214
04/1990,120169.16687026629
05/1990,129602.86157147963
06/1990,126166.77775828798
07/1990,120280.87081445461
08/1990,103740.89307316046
09/1990,93847.61093966156
10/1990,99082.27796052629
11/1990,96497.5460747378
12/1990,100650.89754930015
01/1991,103611.49591646848
02/1991,111467.72567588207
03/1991,116621.36817832434
04/1991,122311.80202320394
05/1991,126924.46919596236
06/1991,124398.03600654661
07/1991,130106.80070247682
08/1991,127128.03277715098
09/1991,127219.46133796696
10/1991,129498.74064186636
11/1991,119885.36749831421
12/1991,125224.51838879155
01/1992,124105.47263681587
02/1992,124066.68916638536
03/1992,121886.52975983289
04/1992,121238.93885915971
05/1992,122338.59077093114
06/1992,115296.90043663411
07/1992,111781.52995776187
08/1992,112949.30534115467
09/1992,117748.6921202274
10/1992,127935.14429185065
11/1992,140935.7086717317
12/1992,139814.31334622818
01/1993,141932.94616639474
02/1993,154636.86002084057
03/1993,161072.72354108226
04/1993,159439.8912410176
05/1993,162756.03799185887
06/1993,165574.53918578438
07/1993,170377.372116349
08/1993,178634.89338876217
09/1993,171452.04616998942
10/1993,178773.40078546226
11/1993,171066.7747163695
12/1993,178132.5286662643
01/1994,189712.57789988606
02/1994,188873.6073553271
03/1994,179150.4524431932
04/1994,185842.38008500298
05/1994,183566.33426406057
06/1994,180376.46442143884
07/1994,181328.7127432598
08/1994,187293.0618596809
09/1994,179548.07483557877
10/1994,179982.66932270912
11/1994,173999.84898061914
12/1994,179080.92641303648
01/1995,174569.13501841732
02/1995,177364.5801526717
03/1995,182594.8256467941
04/1995,188081.57780128156
05/1995,192025.4000251984
06/1995,191032.65613243036
07/1995,200497.49247743227
08/1995,199540.0561654327
09/1995,206335.95894804355
10/1995,200610.8878889663
11/1995,209578.13759999996
12/1995,218741.18792599806
01/1996,224356.98587127155
02/1996,224619.375
03/1996,229641.22847226768
04/1996,236714.56464379944
05/1996,236996.83210137268
06/1996,234069.43435391798
07/1996,224093.08435286532
08/1996,227075.55326150067
09/1996,234497.06919771686
10/1996,232069.242892265
11/1996,233825.66323768263
12/1996,229815.83027826188
01/1997,233299.53572505267
02/1997,240714.27165354326
03/1997,238252.9324055665
04/1997,243021.0274350948
05/1997,257518.4413674794
06/1997,268230.96844792983
07/1997,276423.816940218
08/1997,268487.48362956033
09/1997,283417.1735464934
10/1997,263243.551745254
11/1997,258991.3908461128
12/1997,266715.81611134537
01/1998,278245.28440366965
02/1998,295972.013651877
03/1998,304508.57452313614
04/1998,305526.6160377922
05/1998,307931.0462702966
06/1998,312862.33640329604
07/1998,313587.00492790656
08/1998,273301.8724758291
09/1998,270137.454675147
10/1998,292408.3569405099
11/1998,315961.4231533321
12/1998,329425.99952118733
01/1999,337765.45952490816
02/1999,337833.7528943198
03/1999,349863.9892434
04/1999,363493.04598015745
05/1999,352345.2442798831
06/1999,375531.1361361719
07/1999,363469.8187591227
08/1999,366203.0287516132
09/1999,353469.53937376174
10/1999,374530.90363875404
11/1999,394354.10589994537
12/1999,421073.74055545003
01/2000,396113.2855965039
02/2000,406041.02076244855
03/2000,430649.65887565346
04/2000,419796.48797139566
05/2000,429251.5788191575
06/2000,438705.7296716441
07/2000,430701.9051220902
08/2000,457974.1346161096
09/2000,428689.1996823039
10/2000,427257.8911673066
11/2000,410284.6598189813
12/2000,396219.911572588
01/2001,412535.13439624466
02/2001,380654.7925301453
03/2001,360969.3071669014
04/2001,385843.4219601353
05/2001,384314.9915714583
06/2001,375834.2472312284
07/2001,365833.2479728084
08/2001,340591.30917832535
09/2001,308231.53398332564
10/2001,316852.08861149015
11/2001,342351.32592710026
12/2001,339260.8588146976
01/2002,337085.54546711
02/2002,333607.38723351376
03/2002,346433.8059963778
04/2002,327174.2438073362
05/2002,325516.50245427026
06/2002,291866.2948058083
07/2002,262545.8324059368
08/2002,265459.9011727246
09/2002,233471.7534512144
10/2002,251807.20654647655
11/2002,266537.24043113133
12/2002,244174.82031875668
01/2003,231367.71364079442
02/2003,237946.81499112345
03/2003,236553.98353834174
04/2003,254761.9138218174
05/2003,261748.35502034548
06/2003,265343.3966435439
07/2003,276737.8591677695
08/2003,288918.5184582282
09/2003,274933.62118267093
10/2003,286832.33932644885
11/2003,286576.7805304102
12/2003,292393.0158097819
01/2004,294302.34375662147
02/2004,292047.22062154027
03/2004,292909.9937178383
04/2004,297001.64624465414
05/2004,289640.86303477583
06/2004,299309.9155379162
07/2004,288753.53480140073
08/2004,293933.47677659354
09/2004,297191.40454427013
10/2004,300445.57163877535
11/2004,303369.7627141949
12/2004,311141.4446277063
01/2005,311565.96936423116
02/2005,315390.0254104559
03/2005,315684.4894634077
04/2005,304036.4054917166
05/2005,324955.4346929758
06/2005,332814.00040586275
07/2005,352125.00686618104
08/2005,348458.72580303514
09/2005,361637.10535881825
10/2005,350674.29327255767
11/2005,373187.97550022934
12/2005,382307.72130281886
01/2006,388232.3178888022
02/2006,392869.95269725897
03/2006,403650.1459924062
04/2006,400272.34505606367
05/2006,372151.6879159251
06/2006,379982.586148292
07/2006,376445.8503067903
08/2006,377973.5863294046
09/2006,390324.29618755414
10/2006,398025.1829004803
11/2006,395576.0690115047
12/2006,402887.99033468537
01/2007,409349.5919226003
02/2007,405558.7930496017
03/2007,413404.6602669463
04/2007,424333.59629632364
05/2007,439439.55186592514
06/2007,430506.6948143013
07/2007,414768.5994774476
08/2007,416943.77828375594
09/2007,433908.6871234796
10/2007,439236.20085307147
11/2007,422520.5932053366
12/2007,429205.7728773687
01/2008,400113.1233907446
02/2008,399135.84152835375
03/2008,394348.0985412812
04/2008,419340.7883942876
05/2008,424372.8727975405
06/2008,387239.11424778984
07/2008,379890.6793593738
08/2008,404894.57981108694
09/2008,360800.8634549498
10/2008,326416.87480978615
11/2008,322729.7110612161
12/2008,349601.6086616669
01/2009,326503.5544327461
02/2009,295498.20604950894
03/2009,314670.758903013
04/2009,336724.51939774095
05/2009,337879.9957273653
06/2009,327504.48610888363
07/2009,356601.3629798557
08/2009,378896.7033399502
09/2009,396194.628623538
10/2009,378433.5701652303
11/2009,395778.8907046894
12/2009,409332.9797933179
01/2010,394955.838055013
02/2010,424650.8872825605
03/2010,452519.35529767675
04/2010,448116.74539152
05/2010,427464.18028181215
06/2010,398807.40650909016
07/2010,414756.9889130976
08/2010,405267.27487500437
09/2010,429174.7251385318
10/2010,442868.41791151674
11/2010,445483.12561455485
12/2010,478038.703602744
01/2011,477139.76629080385
02/2011,484177.9058578754
03/2011,483730.9312949418
04/2011,486485.7413950831
05/2011,481279.4752799482
06/2011,487925.7604952606
07/2011,470660.28772108746
08/2011,437051.55327254446
09/2011,418163.8246432144
10/2011,448317.1906584281
11/2011,447331.8195158125
12/2011,452528.248829682
01/2012,466577.572724058
02/2012,484703.98379673285
03/2012,488278.11116058606
04/2012,475662.80289524567
05/2012,455586.52077410335
06/2012,475758.2686226571
07/2012,479890.5680580696
08/2012,486206.4116315959
09/2012,488954.8253684717
10/2012,488382.8817823423
11/2012,497572.7133465427
12/2012,502200.0120866179
01/2013,539670.9526022479
02/2013,561801.874719489
03/2013,577623.3769946089
04/2013,582746.264627518
05/2013,592413.3595898898
06/2013,576936.3573941726
07/2013,609767.3283149205
08/2013,585194.9271524597
09/2013,589554.8854552504
10/2013,616789.5319787491
11/2013,616221.7472225766
12/2013,621756.174310965
01/2014,601859.5058248563
02/2014,622089.7625610053
03/2014,625592.6187139824
04/2014,625223.4208810517
05/2014,641103.9916788653
06/2014,640860.8940499575
07/2014,636796.1748724353
08/2014,662335.9499556369
09/2014,660055.777503955
10/2014,673423.1404268381
11/2014,698885.6295203008
12/2014,692406.6504164288
01/2015,704076.3163410302
02/2015,726382.7314138939
03/2015,746465.0288254697
04/2015,732303.9345222528
05/2015,743277.931713792
06/2015,704261.5114651101
07/2015,723909.5708114597
08/2015,683054.1830131783
09/2015,668494.8331583645
10/2015,713483.1200652011
11/2015,725532.0599696431
12/2015,721260.176040222
01/2016,703834.0507400006
02/2016,720547.0330234821
03/2016,741237.894483417
04/2016,741046.1629954167
05/2016,743878.1696685596
06/2016,801697.9148513613
07/2016,852415.7997371501
08/2016,855765.0139271895
09/2016,871198.6062893352
10/2016,911051.6176322376
11/2016,900475.5023697136
12/2016,934260.1770672279
01/2017,943104.4294652045
02/2017,974581.4311348649
03/2017,979140.7131697953
04/2017,959642.1481326215
05/2017,987208.589941065
06/2017,980755.7605022376
07/2017,993778.9256867567
08/2017,1015108.2460895372
09/2017,996667.4084893937
10/2017,1026365.2765772354
11/2017,1031478.652916477
12/2017,1041539.0293918857
01/2018,1046014.9306929121
02/2018,1028504.32890721
03/2018,986915.1040592976
04/2018,1023725.7413259486
05/2018,1060215.6223217773
06/2018,1074655.6651787292
07/2018,1108496.4259698319
08/2018,1136987.1362313735
09/2018,1137774.3896349964
10/2018,1079999.6319705425
11/2018,1090713.6753449636
12/2018,1004090.077242854
01/2019,1056025.4940951534
02/2019,1072854.7702489926
03/2019,1104392.9074534946
04/2019,1150864.536189025
05/2019,1121901.9660540507
06/2019,1184475.282739379
07/2019,1241453.161027809
08/2019,1214543.1057044247
09/2019,1229483.9597307674
10/2019,1196910.929169954
11/2019,1236341.1408377227
12/2019,1242697.4677392696
01/2020,1242118.7121946423
02/2020,1160403.2786530093
03/2020,1048112.418206479
04/2020,1148201.6760612298
05/2020,1218622.8947616154
06/2020,1259879.2759736262
07/2020,1231454.9610384402
08/2020,1297125.9152099732
09/2020,1300426.0180623687
10/2020,1247411.4443385026
11/2020,1368261.7535971566
12/2020,1393347.1910961552
01/2021,1371261.9209271139
02/2021,1386950.1278680556
03/2021,1450116.3840224985
04/2021,1501350.618463389
05/2021,1493366.4251429471
06/2021,1552290.3941279852
07/2021,1566927.496119571
08/2021,1627591.346719905
09/2021,1597673.1925179642
10/2021,1648109.5647527408
11/2021,1665354.5248755885
12/2021,1718784.04265143
01/2022,1635438.150464208
02/2022,1595536.606932033
03/2022,1674480.4337238509
04/2022,1603964.7046384492
05/2022,1602408.3414697002
06/2022,1521632.581333694
07/2022,1637211.9842575893
08/2022,1638777.9479676217
09/2022,1565008.3469578144
10/2022,1608497.2793299854
11/2022,1650857.1324831054
12/2022,1576975.5817109607
01/2023,1650903.9324741894
02/2023,1636746.2784706599
03/2023,1651715.5895605623
04/2023,1666906.814645886
05/2023,1664607.9971706914
06/2023,1723960.0378121503
07/2023,1755204.2651493894
08/2023,1736762.5357040705
09/2023,1719540.3863508874
10/2023,1683209.4290867269
11/2023,1768036.3788114097
12/2023,1846270.0243462517
01/2024,1872924.1433324127
02/2024,1959347.8955429522
03/2024,2021688.9490109012
04/2024,1962749.6296580702
05/2024,2022395.226330505
06/2024,2074067.7776237314
07/2024,2080281.813716167
08/2024,2078957.699344025
09/2024,2082041.0892404595
10/2024,2104903.234519363
11/2024,2253348.3530151364
12/2024,2223474.096160885
01/2025,2320199.6504253484
02/2025,2272014.538155061
03/2025,2113245.4823158635
04/2025,2067321.1218130912
05/2025,2168924.7515105526
06/2025,2226180.5787496194
07/2025,2334183.4506700104
08/2025,2356683.2457753224
09/2025,2433635.5756406737
10/2025,2546229.86312147
11/2025,2532255.71558345
12/2025,2505285.6137349308
01/2026,2506514.357907799
02/2026,2578981.9616924087
03/2026,2456638.9278814844
04/2026,2639005.033541992
05/2026,2776015.9486268093
