Date,MSCI ACWI
02/2024,248661.70269706426
03/2024,256527.5924598206
04/2024,250233.2747629346
05/2024,256996.88194906802
06/2024,264153.48220482655
07/2024,264627.52789434115
08/2024,264451.2373891564
09/2024,266535.3817740206
10/2024,268521.69750261895
11/2024,284459.14184828085
12/2024,282300.2486921554
01/2025,293057.7380884051
02/2025,287683.6951559475
03/2025,269024.13918177725
04/2025,263103.196366685
05/2025,275126.80360547936
06/2025,282753.33312840987
07/2025,297154.0970415747
08/2025,298394.58059943875
09/2025,310370.14808777097
10/2025,326062.9814505103
11/2025,321889.07515398983
12/2025,320444.2506495913
01/2026,323338.94519083295
02/2026,333825.76048063475
03/2026,314627.80152146786
04/2026,339659.88436210324
05/2026,359458.4569609379
