Date,Synthetic FTSE All-World
12/1998,337768.0043744312
01/1999,345873.22590929654
02/1999,346515.56092126464
03/1999,360057.257636906
04/1999,375495.331330919
05/1999,364485.5007007168
06/1999,389689.93536102824
07/1999,376813.7087703327
08/1999,379918.46509813174
09/1999,366356.7042897656
10/1999,387744.2655332613
11/1999,409485.68310438015
12/1999,438238.2318741164
01/2000,413763.8548309065
02/2000,424480.39248444105
03/2000,448835.30214121955
04/2000,436400.45107914903
05/2000,445993.6345652062
06/2000,455969.72423127864
07/2000,447144.05638894206
08/2000,474850.7506003034
09/2000,443719.5995500778
10/2000,441029.32277479937
11/2000,423006.92334380705
12/2000,408771.8382751027
01/2001,428120.33831261453
02/2001,395244.32369460276
03/2001,374216.76386743586
04/2001,399677.3708870113
05/2001,398853.46029263217
06/2001,390388.02752162836
07/2001,379077.6741733295
08/2001,353733.8596737809
09/2001,319038.61036030494
10/2001,328654.78907482425
11/2001,355939.4021049626
12/2001,353843.72823183413
01/2002,352661.65424300666
02/2002,349533.21413457557
03/2002,363357.3506658661
04/2002,343980.3669877725
05/2002,342150.5770886254
06/2002,306722.28971264284
07/2002,276064.46651406836
08/2002,279373.062637253
09/2002,245823.64803305018
10/2002,265117.7541927061
11/2002,280875.8632517138
12/2002,257556.58416191887
01/2003,244372.02596924425
02/2003,251314.91456514742
03/2003,249723.7719307042
04/2003,269114.39579945017
05/2003,276823.8675877889
06/2003,281184.6471964618
07/2003,293834.62981455727
08/2003,307445.2084112784
09/2003,292670.82691064675
10/2003,305683.78653371433
11/2003,305334.9415997643
12/2003,311311.17522553453
01/2004,314072.83991302026
02/2004,312559.338613863
03/2004,313984.93914388097
04/2004,317245.34765962476
05/2004,308957.77713774727
06/2004,318772.8281602082
07/2004,308010.70231407264
08/2004,314362.25007481885
09/2004,318591.5032154953
10/2004,322080.140562315
11/2004,326003.2332547925
12/2004,334476.46595126204
01/2005,335522.29569890833
02/2005,340693.5003663616
03/2005,340108.7978820071
04/2005,327550.4608270006
05/2005,351120.82053372025
06/2005,360621.2188882013
07/2005,382661.43912764185
08/2005,378563.3229528803
09/2005,394150.0379364998
10/2005,381550.73589998105
11/2005,407108.42437261564
12/2005,418100.98032345704
01/2006,426681.5488073367
02/2006,432142.0930943775
03/2006,443924.97311227745
04/2006,441303.28883280564
05/2006,408396.8103993405
06/2006,417411.80715555494
07/2006,414305.9077245326
08/2006,416137.1954071721
09/2006,429962.9466078192
10/2006,438698.89742330735
11/2006,437789.1742489651
12/2006,447105.1822361565
01/2007,453272.2804262164
02/2007,448897.0755161881
03/2007,458465.7088300205
04/2007,471142.0447329401
05/2007,489366.92001029284
06/2007,482001.56062860176
07/2007,467908.041580728
08/2007,469493.3360660131
09/2007,491414.87079773215
10/2007,502139.6460089052
11/2007,482504.17552991776
12/2007,490759.0830105014
01/2008,454961.2193776652
02/2008,457560.5935830322
03/2008,449825.34776434145
04/2008,479801.47742884513
05/2008,485524.63913797593
06/2008,440767.5352159834
07/2008,432825.31175896525
08/2008,457603.0719733244
09/2008,405935.20539872226
10/2008,362881.9017124107
11/2008,358653.91639381886
12/2008,390558.7398537986
01/2009,364941.00926342804
02/2009,332232.1884887459
03/2009,356821.3872956943
04/2009,384658.9188219846
05/2009,389689.53089717985
06/2009,377429.2766617525
07/2009,412520.26138339884
08/2009,436513.8691410147
09/2009,459096.0170425138
10/2009,439493.1561579012
11/2009,459625.99722815683
12/2009,476465.41756982595
01/2010,458943.4761620678
02/2010,492291.3352418634
03/2010,526197.7078970841
04/2010,521844.25212396914
05/2010,497787.92099247966
06/2010,466809.7047634256
07/2010,485647.00364408956
08/2010,475640.743112403
09/2010,505354.6623232519
10/2010,520551.7576840751
11/2010,522419.0758664306
12/2010,560920.6922871723
01/2011,555810.4071717378
02/2011,560288.5935292485
03/2011,565293.8466148712
04/2011,567660.9698004936
05/2011,560880.0400387903
06/2011,568928.7469890264
07/2011,549542.0885146683
08/2011,508683.7979555501
09/2011,481925.73039610387
10/2011,518530.48206650175
11/2011,513865.3074119274
12/2011,518707.99205602723
01/2012,539762.434998478
02/2012,561558.7590536303
03/2012,561734.4553791451
04/2012,547078.0547011232
05/2012,521989.3868196368
06/2012,544350.257561611
07/2012,549664.3286621489
08/2012,554840.4863145693
09/2012,560439.1150858767
10/2012,560287.1027542647
11/2012,570832.8341973104
12/2012,578937.0433965868
01/2013,619201.7239244197
02/2013,643101.3299738453
03/2013,657370.0681537885
04/2013,661581.3636335565
05/2013,670597.4884001913
06/2013,650099.0942468925
07/2013,683783.3449043315
08/2013,656550.9708700862
09/2013,662691.152801633
10/2013,693943.6689850665
11/2013,690749.1672108399
12/2013,694197.2452435032
01/2014,669948.3588218517
02/2014,690600.0780579983
03/2014,697172.5248348054
04/2014,696099.2301760738
05/2014,715146.6280261423
06/2014,715807.3776663354
07/2014,714124.1460694149
08/2014,742767.4432773349
09/2014,736401.0432219201
10/2014,751568.363081307
11/2014,777428.9078723743
12/2014,767847.902969108
01/2015,783363.2740266441
02/2015,805595.5993119669
03/2015,828191.6711385302
04/2015,817055.9916840254
05/2015,825876.8707441897
06/2015,782323.523505447
07/2015,796585.3315377674
08/2015,750181.4851793168
09/2015,734672.7382198955
10/2015,783300.8877383877
11/2015,793976.1198794409
12/2015,789391.1752189012
01/2016,769714.1490573749
02/2016,788211.346618771
03/2016,816197.090203478
04/2016,815135.2508119374
05/2016,814751.6940182154
06/2016,882501.2937209371
07/2016,939164.3178720605
08/2016,944952.0803207102
09/2016,962621.9706153566
10/2016,1009704.0050618228
11/2016,991339.5407548551
12/2016,1027120.2084525744
01/2017,1039718.5836692696
02/2017,1075192.041934239
03/2017,1081839.7678972054
04/2017,1061089.6650028282
05/2017,1092275.9657122614
06/2017,1085368.8708591217
07/2017,1103418.9544252453
08/2017,1129984.4416782265
09/2017,1106087.995499538
10/2017,1141342.759890109
11/2017,1144675.4310340711
12/2017,1159791.7795262104
01/2018,1168326.9381810662
02/2018,1148488.5093715705
03/2018,1102161.4988733141
04/2018,1141151.194577212
05/2018,1174867.3830390812
06/2018,1184216.5820363536
07/2018,1220331.5676431449
08/2018,1245093.9033956542
09/2018,1244903.225609165
10/2018,1179903.8554719102
11/2018,1195442.4693994364
12/2018,1107568.421849304
01/2019,1164864.844419931
02/2019,1178980.1492094158
03/2019,1213049.836168249
04/2019,1261927.58135295
05/2019,1228482.1811527903
06/2019,1295471.9338446995
07/2019,1354700.2603185377
08/2019,1321197.4544345792
09/2019,1338209.468378303
10/2019,1305875.202947323
11/2019,1343984.92458264
12/2019,1358465.0312503255
01/2020,1350485.0687333473
02/2020,1266632.8938979178
03/2020,1140241.2573008423
04/2020,1245819.3334763886
05/2020,1317004.5517734736
06/2020,1368222.3156073112
07/2020,1342073.7832826765
08/2020,1407250.7536676384
09/2020,1414237.7412917838
10/2020,1364742.4448227715
11/2020,1491438.6267001347
12/2020,1524610.370698597
01/2021,1508685.7271034382
02/2021,1522519.6123978572
03/2021,1583486.6953911684
04/2021,1634073.184646329
05/2021,1627936.7435468405
06/2021,1687447.5429402485
07/2021,1683995.3670612678
08/2021,1749138.1460373711
09/2021,1718455.7729787133
10/2021,1761409.2427276198
11/2021,1773759.6991796077
12/2021,1827891.8087404326
01/2022,1748194.2723882073
02/2022,1705245.2123803396
03/2022,1779168.792118738
04/2022,1711767.7397679063
05/2022,1710785.4432033172
06/2022,1629243.2358274846
07/2022,1734963.4707314
08/2022,1746991.5637428374
09/2022,1663275.7464883775
10/2022,1689625.5383304802
11/2022,1748046.4937528225
12/2022,1678511.304408692
01/2023,1757110.4541587622
02/2023,1733597.0148830067
03/2023,1748200.4134617106
04/2023,1759834.8942130457
05/2023,1756060.707138102
06/2023,1812224.8112325876
07/2023,1850355.3718457397
08/2023,1824473.034739887
09/2023,1811580.098359611
10/2023,1771309.4408349718
11/2023,1857179.1379727537
12/2023,1936795.7566492027
01/2024,1952756.3210472022
02/2024,2042115.6512090135
03/2024,2104013.667993014
04/2024,2052977.0094047277
05/2024,2105979.687767232
06/2024,2161707.6074624024
07/2024,2167701.9081752645
08/2024,2164636.453653791
09/2024,2179087.5533235366
10/2024,2195043.364253844
11/2024,2327692.7194825984
12/2024,2303577.538372142
01/2025,2398940.8225990753
02/2025,2352254.3107002913
03/2025,2204474.2586355223
04/2025,2159403.9289647886
05/2025,2260583.054101931
06/2025,2323030.1513723335
07/2025,2437254.9585758857
08/2025,2459047.177706036
09/2025,2548549.7614317043
10/2025,2670729.933435085
11/2025,2649652.4254556573
12/2025,2628158.1442080126
01/2026,2649141.3475969564
02/2026,2744255.6227992945
03/2026,2587258.4613653063
04/2026,2793090.331488458
05/2026,2955640.179662699
