Date,Return (%)
12/1979,-0.3966
01/1980,3.0408
02/1980,-1.0557
03/1980,-7.3474
04/1980,6.296
05/1980,0.6886
06/1980,3.2563
07/1980,1.4361
08/1980,2.0578
09/1980,1.6663
10/1980,2.2458
11/1980,5.1412
12/1980,-0.1877
01/1981,-5.2272
02/1981,5.0328
03/1981,6.4267
04/1981,2.6378
05/1981,2.1138
06/1981,5.6093
07/1981,3.5482
08/1981,0.8923
09/1981,-7.2404
10/1981,1.5869
11/1981,3.9268
12/1981,-2.18
01/1982,-0.5826
02/1982,-4.0887
03/1982,-0.5013
04/1982,6.8611
05/1982,-4.6061
06/1982,-1.5954
07/1982,-0.117
08/1982,7.88
09/1982,1.2072
10/1982,7.8453
11/1982,9.411
12/1982,5.5102
01/1983,4.7336
02/1983,4.9235
03/1983,6.4801
04/1983,3.9059
05/1983,-3.2697
06/1983,4.7351
07/1983,-0.4688
08/1983,2.1731
09/1983,2.2805
10/1983,-1.08
11/1983,3.9768
12/1983,4.2857
01/1984,2.6898
02/1984,-3.9918
03/1984,3.682
04/1984,2.0531
05/1984,-5.4075
06/1984,1.7554
07/1984,0.6317
08/1984,10.5863
09/1984,4.1147
10/1984,4.0902
11/1984,-1.9694
12/1984,6.6328
01/1985,11.0169
02/1985,3.2864
03/1985,0.4855
04/1985,-9.3537
05/1985,4.2209
06/1985,-0.8229
07/1985,-5.3447
08/1985,0.5472
09/1985,2.1909
10/1985,1.1092
11/1985,4.2368
12/1985,4.2868
01/1986,2.9006
02/1986,8.581
03/1986,6.9285
04/1986,0.5929
05/1986,-1.7946
06/1986,4.8551
07/1986,0.8716
08/1986,10.2482
09/1986,-2.9342
10/1986,1.2459
11/1986,4.3943
12/1986,0.8691
01/1987,6.8149
02/1987,1.7453
03/1987,1.881
04/1987,3.3103
05/1987,-2.0039
06/1987,2.2382
07/1987,3.2299
08/1987,6.5103
09/1987,-4.4511
10/1987,-17.8711
11/1987,-8.6916
12/1987,1.2562
01/1988,4.1215
02/1988,8.3776
03/1988,-1.0976
04/1988,-1.1398
05/1988,-1.4958
06/1988,5.1339
07/1988,6.1584
08/1988,-4.9923
09/1988,5.0949
10/1988,3.2076
11/1988,-0.6108
12/1988,-0.0341
01/1989,6.6658
02/1989,0.5602
03/1989,1.7713
04/1989,3.2764
05/1989,1.839
06/1989,3.5456
07/1989,6.2523
08/1989,-0.3848
09/1989,4.5488
10/1989,-4.186
11/1989,4.9132
12/1989,1.7407
01/1990,-7.7524
02/1990,-6.7338
03/1990,-2.0372
04/1990,-2.021
05/1990,7.8015
06/1990,-2.5821
07/1990,-4.5383
08/1990,-13.7606
09/1990,-9.4049
10/1990,5.4867
11/1990,-2.6072
12/1990,4.406
01/1991,3.0178
02/1991,7.7611
03/1991,4.8255
04/1991,4.9749
05/1991,3.9305
06/1991,-1.8795
07/1991,4.6623
08/1991,-2.1452
09/1991,0.0285
10/1991,1.9412
11/1991,-7.3414
12/1991,4.6277
01/1992,-0.5039
02/1992,0.2177
03/1992,-1.4582
04/1992,-0.5513
05/1992,0.7972
06/1992,-5.9361
07/1992,-2.9553
08/1992,0.8901
09/1992,4.351
10/1992,8.9804
11/1992,10.0609
12/1992,-0.6291
01/1993,1.5653
02/1993,8.9643
03/1993,4.1404
04/1993,-1.0754
05/1993,2.1508
06/1993,1.9532
07/1993,2.9406
08/1993,5.0298
09/1993,-3.8305
10/1993,4.5035
11/1993,-3.8219
12/1993,4.6664
01/1994,6.5603
02/1994,-0.5727
03/1994,-5.3061
04/1994,3.3847
05/1994,-0.8749
06/1994,-1.9202
07/1994,0.8586
08/1994,3.8642
09/1994,-3.8384
10/1994,-0.0101
11/1994,-3.3075
12/1994,2.3125
01/1995,-3.0241
02/1995,1.2352
03/1995,2.7374
04/1995,3.1794
05/1995,2.3715
06/1995,-0.442
07/1995,4.812
08/1995,-0.4165
09/1995,3.2653
10/1995,-2.8492
11/1995,4.1623
12/1995,4.4823
01/1996,3.0053
02/1996,-0.0543
03/1996,2.1312
04/1996,3.1918
05/1996,0.1562
06/1996,-1.1735
07/1996,-4.4416
08/1996,1.4358
09/1996,3.0676
10/1996,-1.309
11/1996,0.5297
12/1996,-1.5432
01/1997,2.0087
02/1997,3.4149
03/1997,-1.0262
04/1997,1.9639
05/1997,5.7785
06/1997,4.3055
07/1997,2.9877
08/1997,-3.1948
09/1997,5.4778
10/1997,-7.7799
11/1997,-1.8306
12/1997,3.0954
01/1998,3.7454
02/1998,6.4633
03/1998,2.943
04/1998,0.3095
05/1998,0.1447
06/1998,1.0491
07/1998,0.4404
08/1998,-13.5103
09/1998,-0.9268
10/1998,8.3535
11/1998,8.1974
12/1998,4.0366
01/1999,2.3996
02/1999,0.1857
03/1999,3.908
04/1999,4.2877
05/1999,-2.9321
06/1999,6.9151
07/1999,-3.3042
08/1999,0.8239
09/1999,-3.5697
10/1999,5.8379
11/1999,5.6072
12/1999,7.0216
01/2000,-5.5847
02/2000,2.59
03/2000,5.7376
04/2000,-2.7705
05/2000,2.1983
06/2000,2.2368
07/2000,-1.9356
08/2000,6.1964
09/2000,-6.556
10/2000,-0.6063
11/2000,-4.0864
12/2000,-3.3652
01/2001,4.7333
02/2001,-7.6792
03/2001,-5.3201
04/2001,6.8037
05/2001,-0.2061
06/2001,-2.1224
07/2001,-2.8972
08/2001,-6.6857
09/2001,-9.8083
10/2001,3.0141
11/2001,8.3019
12/2001,-0.5888
01/2002,-0.3341
02/2002,-0.8871
03/2002,3.955
04/2002,-5.3328
05/2002,-0.5319
06/2002,-10.3546
07/2002,-9.9953
08/2002,1.1985
09/2002,-12.0088
10/2002,7.8488
11/2002,5.9438
12/2002,-8.3023
01/2003,-5.1191
02/2003,2.8411
03/2003,-0.6331
04/2003,7.7648
05/2003,2.8648
06/2003,1.5753
07/2003,4.4988
08/2003,4.6321
09/2003,-4.8055
10/2003,4.4463
11/2003,-0.1141
12/2003,1.9573
01/2004,0.8871
02/2004,-0.4819
03/2004,0.4561
04/2004,1.0384
05/2004,-2.6124
06/2004,3.1768
07/2004,-3.3761
08/2004,2.0621
09/2004,1.3453
10/2004,1.095
11/2004,1.218
12/2004,2.5991
01/2005,0.3127
02/2005,1.5412
03/2005,-0.1716
04/2005,-3.6924
05/2005,7.1959
06/2005,2.7057
07/2005,6.1117
08/2005,-1.071
09/2005,4.1173
10/2005,-3.1966
11/2005,6.6984
12/2005,2.7002
01/2006,2.0523
02/2006,1.2798
03/2006,2.7266
04/2006,-0.5906
05/2006,-7.4567
06/2006,2.2074
07/2006,-0.7441
08/2006,0.442
09/2006,3.3224
10/2006,2.0318
11/2006,-0.2074
12/2006,2.128
01/2007,1.3793
02/2007,-0.9652
03/2007,2.1316
04/2007,2.7649
05/2007,3.8682
06/2007,-1.5051
07/2007,-2.924
08/2007,0.3388
09/2007,4.6692
10/2007,2.1824
11/2007,-3.9104
12/2007,1.7108
01/2008,-7.2944
02/2008,0.5713
03/2008,-1.6905
04/2008,6.6639
05/2008,1.1928
06/2008,-9.2183
07/2008,-1.8019
08/2008,5.7247
09/2008,-11.291
10/2008,-10.606
11/2008,-1.1651
12/2008,8.8957
01/2009,-6.5593
02/2009,-8.9628
03/2009,7.4012
04/2009,7.8015
05/2009,1.3078
06/2009,-3.1462
07/2009,9.2974
08/2009,5.8163
09/2009,5.1733
10/2009,-4.2699
11/2009,4.5809
12/2009,3.6637
01/2010,-3.6775
02/2010,7.2662
03/2010,6.8875
04/2010,-0.8273
05/2010,-4.6099
06/2010,-6.2232
07/2010,4.0353
08/2010,-2.0604
09/2010,6.2471
10/2010,3.0072
11/2010,0.3587
12/2010,7.3699
01/2011,-0.9111
02/2011,0.8057
03/2011,0.8933
04/2011,0.4187
05/2011,-1.1945
06/2011,1.435
07/2011,-3.4076
08/2011,-7.435
09/2011,-5.2603
10/2011,7.5955
11/2011,-0.8997
12/2011,0.9424
01/2012,4.059
02/2012,4.0381
03/2012,0.0313
04/2012,-2.6091
05/2012,-4.5859
06/2012,4.2838
07/2012,0.9762
08/2012,0.9417
09/2012,1.0091
10/2012,-0.0271
11/2012,1.8822
12/2012,1.4197
01/2013,6.9549
02/2013,3.8597
03/2013,2.2187
04/2013,0.6406
05/2013,1.3628
06/2013,-3.0567
07/2013,5.1814
08/2013,-3.9826
09/2013,0.9352
10/2013,4.716
11/2013,-0.4603
12/2013,0.4992
01/2014,-3.4931
02/2014,3.0826
03/2014,0.9517
04/2014,-0.1539
05/2014,2.7363
06/2014,0.0924
07/2014,-0.2352
08/2014,4.011
09/2014,-0.8571
10/2014,2.0597
11/2014,3.4409
12/2014,-1.2324
01/2015,2.0206
02/2015,2.8381
03/2015,2.8049
04/2015,-1.3446
05/2015,1.0796
06/2015,-5.2736
07/2015,1.823
08/2015,-5.8253
09/2015,-2.0673
10/2015,6.619
11/2015,1.3629
12/2015,-0.5775
01/2016,-2.4927
02/2016,2.4031
03/2016,3.5505
04/2016,-0.1301
05/2016,-0.0471
06/2016,8.3154
07/2016,6.4207
08/2016,0.6163
09/2016,1.8699
10/2016,4.891
11/2016,-1.8188
12/2016,3.6093
01/2017,1.2266
02/2017,3.4118
03/2017,0.6183
04/2017,-1.918
05/2017,2.9391
06/2017,-0.6324
07/2017,1.663
08/2017,2.4076
09/2017,-2.1148
10/2017,3.1873
11/2017,0.292
12/2017,1.3206
01/2018,0.7359
02/2018,-1.698
03/2018,-4.0337
04/2018,3.5376
05/2018,2.9546
06/2018,0.7958
07/2018,3.0497
08/2018,2.0291
09/2018,-0.0153
10/2018,-5.2212
11/2018,1.3169
12/2018,-7.3508
01/2019,5.1732
02/2019,1.2118
03/2019,2.8898
04/2019,4.0293
05/2019,-2.6503
06/2019,5.4531
07/2019,4.5719
08/2019,-2.4731
09/2019,1.2876
10/2019,-2.4162
11/2019,2.9183
12/2019,1.0774
01/2020,-0.5874
02/2020,-6.209
03/2020,-9.9786
04/2020,9.2593
05/2020,5.7139
06/2020,3.889
07/2020,-1.9111
08/2020,4.8564
09/2020,0.4965
10/2020,-3.4998
11/2020,9.2835
12/2020,2.2241
01/2021,-1.0445
02/2021,0.9169
03/2021,4.0044
04/2021,3.1946
05/2021,-0.3755
06/2021,3.6556
07/2021,-0.2046
08/2021,3.8683
09/2021,-1.7541
10/2021,2.4995
11/2021,0.7012
12/2021,3.0518
01/2022,-4.3601
02/2022,-2.4568
03/2022,4.3351
04/2022,-3.7883
05/2022,-0.0574
06/2022,-4.7664
07/2022,6.4889
08/2022,0.6933
09/2022,-4.792
10/2022,1.5842
11/2022,3.4576
12/2022,-3.9779
01/2023,4.6827
02/2023,-1.3382
03/2023,0.8424
04/2023,0.6655
05/2023,-0.2145
06/2023,3.1983
07/2023,2.1041
08/2023,-1.3988
09/2023,-0.7067
10/2023,-2.223
11/2023,4.8478
12/2023,4.287
01/2024,0.8241
02/2024,4.5761
03/2024,3.0311
04/2024,-2.4257
05/2024,2.5817
06/2024,2.6462
07/2024,0.2773
08/2024,-0.1414
09/2024,0.6676
10/2024,0.7322
11/2024,6.0431
12/2024,-1.036
01/2025,4.1398
02/2025,-1.9461
03/2025,-6.2825
04/2025,-2.0445
05/2025,4.6855
06/2025,2.7624
07/2025,4.9171
08/2025,0.8941
09/2025,3.6397
10/2025,4.7941
11/2025,-0.7892
12/2025,-0.8112
01/2026,0.7984
02/2026,3.5904
03/2026,-5.7209
04/2026,7.9556
05/2026,5.8197
