Date,FTSE All-World
07/2016,32089.440816005554
08/2016,32287.19754187208
09/2016,32890.94375331259
10/2016,34499.64643623631
11/2016,33872.16796491692
12/2016,35094.72465344683
01/2017,35525.186935925754
02/2017,36737.246868219576
03/2017,36964.38689557173
04/2017,36255.39573600146
05/2017,37320.97172929833
06/2017,37084.96956515888
07/2017,37701.70625041908
08/2017,38609.39792346348
09/2017,37792.90225729365
10/2017,38997.48983996155
11/2017,39111.36081163101
12/2017,39627.85740446547
01/2018,39919.48738156126
02/2018,39241.64637434832
03/2018,37658.74140950192
04/2018,38990.944421174194
05/2018,40142.96181962037
06/2018,40462.405991626154
07/2018,41696.38568095875
08/2018,42542.46713068484
09/2018,42535.952036970106
10/2018,40315.04840870724
11/2018,40845.973000390935
12/2018,37843.48558209555
01/2019,39801.194287655046
02/2019,40283.487139952005
03/2019,41447.58290304748
04/2019,43117.64157273592
05/2019,41974.87648906837
06/2019,44263.78766614176
07/2019,46287.50581731645
08/2019,45142.779291697036
09/2019,45724.04713186062
10/2019,44619.24738901327
11/2019,45921.38337699652
12/2019,46416.140808768374
01/2020,46143.48081729561
02/2020,43278.41306453904
03/2020,38959.85361222768
04/2020,42567.253683153765
05/2020,44999.51586140011
06/2020,46749.5284736744
07/2020,45856.08334965396
08/2020,48083.05523725042
09/2020,48321.7871839189
10/2020,46630.62797302416
11/2020,50959.59315259923
12/2020,52093.00792948745
01/2021,51548.893445537855
02/2021,52021.57073423266
03/2021,54104.698855913346
04/2021,55833.14202837224
05/2021,55623.47162274067
06/2021,57656.841331009426
07/2021,57538.88711208639
08/2021,59764.690744916225
09/2021,58716.33299151346
10/2021,60183.97054877572
11/2021,60605.96192326137
12/2021,62455.55213121715
01/2022,59732.440395295576
02/2022,58264.95351041449
03/2022,60790.78023932749
04/2022,58487.815742923834
05/2022,58454.25255608497
06/2022,55668.11195448931
07/2022,59280.36931610848
08/2022,59691.34615101897
09/2022,56830.937474891565
10/2022,57731.25925004913
11/2022,59727.39108317435
12/2022,57351.507224911984
01/2023,60037.08920039418
02/2023,59233.68014442652
03/2023,59732.65022398154
04/2023,60130.17808400591
05/2023,60001.22136102866
06/2023,61920.24091919025
07/2023,63223.088935019085
08/2023,62338.73919032265
09/2023,61898.21231867061
10/2023,60522.24130202625
11/2023,63456.24391664277
12/2023,66176.59085100792
01/2024,66721.93267979471
02/2024,69775.16935203376
03/2024,71890.10569322563
04/2024,70146.28109932896
05/2024,71957.28081262413
06/2024,73861.3967876743
07/2024,74066.2105293149
08/2024,73961.46983637221
09/2024,74455.23615474044
10/2024,75000.41556666655
11/2024,79532.78924493727
12/2024,78708.81982629006
01/2025,81967.2000766745
02/2025,80372.01163949427
03/2025,75322.65111303884
04/2025,73782.68451826465
05/2025,77239.7808816146
06/2025,79373.4782483654
07/2025,83276.32051007212
08/2025,84020.91877974535
09/2025,87079.05015110318
10/2025,91253.71194753441
11/2025,90533.53398508023
12/2025,89799.11568057984
01/2026,90516.07143631528
02/2026,93765.94352662025
03/2026,88401.65207703479
04/2026,95434.53172191969
05/2026,100988.54781194383
